WKT,SA22020_V1_00,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,SHAPE_X,SHAPE_Y
POINT (175.40667553594716 -39.41293908958155),223100,Ohakune,Ohakune,6.44049267237,6.44049267237,-39.41293908984293,175.40667553559746,1807193.4408690813,5634633.794570812,1807193.4409,5634633.7946
POINT (175.67763798916863 -39.46984453302976),223200,Waiouru,Waiouru,5.01061605788,5.01061605788,-39.46984453295328,175.67763798921806,1830336.387204423,5627659.451006049,1830336.3872,5627659.451
POINT (175.1573252614318 -39.65213718188075),223300,Upper Whanganui,Upper Whanganui,1849.8869241,1849.8869241,-39.65213718165656,175.15732526135264,1785087.877593794,5608626.862924645,1785087.8776,5608626.8629
POINT (174.90288206093322 -39.843446821242416),223400,Mowhanau,Mowhanau,170.180109283,170.180109283,-39.84344682141848,174.90288206118046,1762805.1950207336,5587885.952379866,1762805.195,5587885.9524
POINT (175.02790550606335 -39.88791277631501),223500,Brunswick-Papaiti,Brunswick-Papaiti,51.5319132795,51.5319132795,-39.88791277641158,175.02790550588406,1773390.606584419,5582715.028689386,1773390.6066,5582715.0287
POINT (174.97717330004414 -39.92973528588939),223600,Castlecliff West,Castlecliff West,3.02271437906,3.02271437906,-39.92973528608746,174.97717330037034,1768949.7539273829,5578169.988877203,1768949.7539,5578169.9889
POINT (175.02190660074905 -39.90577523883916),223700,Otamatea (Whanganui District),Otamatea (Whanganui District),2.23072752415,2.23072752415,-39.90577523859091,175.0219066012395,1772832.750742545,5580743.914726372,1772832.7507,5580743.9147
POINT (174.99268926024513 -39.93653065273588),223800,Castlecliff East,Castlecliff East,2.62673939537,2.62673939537,-39.93653065306854,174.99268925996853,1770258.8438755365,5577386.201863394,1770258.8439,5577386.2019
POINT (175.01677721227284 -39.92096065787636),223900,Springvale North,Springvale North,1.04144462427,1.04144462427,-39.92096065746442,175.0167772117447,1772356.1727558896,5579068.238946515,1772356.1728,5579068.2389
POINT (175.05309637884042 -39.90451927254723),224000,Lower Aramoho,Lower Aramoho,2.08404053178,2.08404053178,-39.90451927280935,175.05309637845488,1775502.2643663653,5580822.474971394,1775502.2644,5580822.475
POINT (175.03958345097243 -39.91309779571192),224100,St Johns Hill East,St Johns Hill East,1.1236808777,1.1236808777,-39.913097795954,175.039583450668,1774325.3117733565,5579896.728873472,1774325.3118,5579896.7289
POINT (175.03064207312664 -39.92023440436731),224200,St Johns Hill West,St Johns Hill West,1.12200006991,1.12200006991,-39.920234404349806,175.0306420727002,1773543.002663588,5579121.983302528,1773543.0027,5579121.9833
POINT (175.00898237968497 -39.93744773713287),224300,Titoki,Titoki,1.92010635349,1.92010635349,-39.93744773696769,175.00898238000687,1771648.7652279115,5577253.182117492,1771648.7652,5577253.1821
POINT (175.01753637010066 -39.929481435745856),224400,Springvale West,Springvale West,0.688732178396,0.688732178396,-39.92948143538021,175.0175363696195,1772399.6726597962,5578120.957141284,1772399.6727,5578120.9571
POINT (175.0232250847971 -39.925577083227935),224500,Springvale East,Springvale East,0.630704470213,0.630704470213,-39.92557708312604,175.0232250847013,1772895.6389920637,5578543.337411259,1772895.639,5578543.3374
POINT (175.07547785467364 -39.89462700381896),224600,Upper Aramoho,Upper Aramoho,1.56200848564,1.56200848564,-39.894627003895,175.07547785496362,1777441.14622459,5581876.287890689,1777441.1462,5581876.2879
